CY_Month_Number,Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
7,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,1021,37429592,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,800,3611887,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,51,63957,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,190,1130552,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,32,1381068,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1174,42214008,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,51,1403049,Wine,FALSE
7,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,537,8335540,Wine,FALSE
7,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,339,769680,Wine,FALSE
7,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,,,Wine,TRUE
7,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,,,Wine,TRUE
7,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,119,4695984,Wine,FALSE
7,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,19,3951588,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1499,543601497,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1276,95213177,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,43,745912,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,60,842763,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,246,19259399,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,40,1664898,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1216,167006284,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1533,494321362,Wine,FALSE
8,2012,1-Production,0-Category Total,1-Production,636,37287426,Wine,FALSE
8,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1198,53414516,Wine,FALSE
8,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1198,53414516,Wine,FALSE
8,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,598,10171318,Wine,FALSE
8,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,146,9301764,Wine,FALSE
8,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1657,639921295,Wine,FALSE
