winery,wine,vintage,varietal,graph_category,general_category,region,subregion,price,price_type,critic,critic_score,cases_produced,alcohol_pct,estate,single_vineyard,product_tier,source_name,source_url,price_date,data_confidence
Peachy Canyon,Clos du Robles,2023.0,"Syrah, Carignan, Graciano, Grenache",Rhone Blend,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Westside,2021.0,Zinfandel,Zinfandel,Red,Paso Robles,,24.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Westside,2023.0,Zinfandel,Zinfandel,Red,Paso Robles,,24.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Especial,2021.0,Zinfandel,Zinfandel,Red,Paso Robles,,46.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Especial,2022.0,Zinfandel,Zinfandel,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Especial,2023.0,Zinfandel,Zinfandel,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Willow,2021.0,Thibido Zinfandel,Zinfandel,Red,Paso Robles,,46.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Old Schoolhouse,2021.0,Zinfandel,Zinfandel,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Old Schoolhouse,2022.0,Zinfandel,Zinfandel,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Old Schoolhouse,2023.0,Zinfandel,Zinfandel,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Nancy's View Zin,2022.0,Zinfandel,Zinfandel,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Nancy's View Zin,2023.0,Zinfandel,Zinfandel,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Willow,2022.0,Thibido Zinfandel,Zinfandel,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,Bailey,2018.0,Zinfandel,Zinfandel,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,D Block Zinfandel,2022.0,Zinfandel,Zinfandel,Red,Paso Robles,,65.0,Historical listed price,,,,,False,False,Limited,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,The Incredible Red,2021.0,"Zinfandel, Petite Sirah, Grenache",Zinfandel Blend,Red,Paso Robles,,20.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,The Incredible Red,2022.0,"Zinfandel, Petite Sirah, Grenache",Zinfandel Blend,Red,Paso Robles,,18.0,Historical listed price,,,,,False,False,Value/Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,The Odd One,2022.0,"Zinfandel, Carignan, Mourvedre, Cinsault, Syrah, Grenache",Zinfandel Blend,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Peachy Canyon,The Odd One,2023.0,"Zinfandel, Petite Sirah, Carignan, Counoise",Zinfandel Blend,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
